Date et heure;10/08/2021 11:06:59
Type Camera;TPS
Identifiant;e
Temps de jeu (s);13,5269
Nombres d'images;5
Cibles manquees;3
Longueur;10
Nombre  Virages;2
Images Random;Non
Taille images;2
Temps images;10
Seed;1
Preset;[TempSave]
Score;100
Tir Actif;Oui
Score Affiche;Oui
Vitesse;10
Force frein;1
Viseur colorise;Oui
Mode deplacement;Manuel
Personnage;Megan

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;2;1,309705;Non;Oui;Non;
02_N_Diapositive02.jpg;1;0,961287;Non;Oui;Non;
03_T1_Diapositive03.jpg;0;0,8768609;Oui;Oui;Oui;
04Diapositive04.jpg;0;2,027395;Oui;Oui;Oui;
05_N_Diapositive05.jpg;3;3,07537;Non;Oui;Non;
