Date et heure;22/07/2021 14:30:51
Type Camera;TPS
Identifiant;aze
Temps de jeu (s);32,06739
Nombres d'images;5
Cibles manquees;3
Longueur;10
Nombre  Virages;2
Images Random;Non
Taille images;1,5
Temps images;2
Seed;1
Preset;
Score;100
Tir Actif;Oui
Score Affiche;Oui
Vitesse;5
Force frein;1
Mode deplacement;Manuel
Personnage;Megan

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;2;1,467531;Non;Oui;Non;
02_N_Diapositive02.jpg;1;1,004208;Non;Oui;Non;
03Diapositive03.jpg;0;1,741352;Oui;Oui;Oui;
04Diapositive04.jpg;0;1,599759;Oui;Oui;Oui;
05_N_Diapositive05.jpg;3;1,239554;Non;Oui;Non;
