Date et heure;23/07/2021 12:10:08
Type Camera;TPS
Identifiant;aze
Temps de jeu (s);39,36643
Nombres d'images;5
Cibles manquees;3
Longueur;10
Nombre  Virages;2
Images Random;Non
Taille images;1,5
Temps images;2
Seed;1
Preset;
Score;100
Tir Actif;Oui
Score Affiche;Oui
Vitesse;5
Force frein;1
Mode deplacement;Manuel
Personnage;Megan

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;2;1,54435;Non;Oui;Non;
02_N_Diapositive02.jpg;1;1,12331;Non;Oui;Non;
03Diapositive03.jpg;0;2,004454;Oui;Oui;Oui;
04Diapositive04.jpg;0;1,807436;Oui;Oui;Oui;
05_N_Diapositive05.jpg;3;1,179958;Non;Oui;Non;
