Date et heure;23/07/2021 09:40:42
Type Camera;TPS
Identifiant;aze
Temps de jeu (s);30,84739
Nombres d'images;5
Cibles manquees;3
Longueur;10
Nombre  Virages;2
Images Random;Non
Taille images;1,5
Temps images;2
Seed;1
Preset;
Score;0
Tir Actif;Oui
Score Affiche;Oui
Vitesse;5
Force frein;1
Mode deplacement;Manuel
Personnage;Megan

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;2;1,145971;Non;Oui;Non;
02_N_Diapositive02.jpg;1;2,003549;Non;Non;Oui;
03Diapositive03.jpg;0;2,0034;Oui;Non;Non;
04Diapositive04.jpg;0;1,614015;Oui;Oui;Oui;
05_N_Diapositive05.jpg;3;1,540891;Non;Oui;Non;
