Date et heure;27/07/2021 11:03:16
Type Camera;TPS
Identifiant;e
Temps de jeu (s);18,65606
Nombres d'images;5
Cibles manquees;1
Longueur;10
Nombre  Virages;2
Images Random;Non
Taille images;1,5
Temps images;2
Seed;1
Preset;
Score;300
Tir Actif;Oui
Score Affiche;Oui
Vitesse;10
Force frein;1
Viseur colorise;Oui
Mode deplacement;Manuel
Personnage;Megan

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;2;2,003665;Non;Non;Oui;
02_N_Diapositive02.jpg;1;2,011157;Non;Non;Oui;
03_T2_Diapositive03.jpg;0;1,376389;Oui;Oui;Oui;
04Diapositive04.jpg;0;1,563443;Oui;Oui;Oui;
05_N_Diapositive05.jpg;3;1,180106;Non;Oui;Non;
