Date et heure;05/08/2021 14:26:50
Type Camera;TPS
Identifiant;aze
Temps de jeu (s);15,04845
Nombres d'images;5
Cibles manquees;3
Longueur;10
Nombre  Virages;2
Images Random;Non
Taille images;1,5
Temps images;10
Seed;1
Preset;[TempSave]
Score;100
Tir Actif;Oui
Score Affiche;Oui
Vitesse;10
Force frein;1
Viseur colorise;Oui
Mode deplacement;Manuel
Personnage;Megan

Nom image;Position image;Temps affichage;Cible a toucher ?;Cible effectivement touchee ?;Succes ?
01_N_Diapositive01.jpg;2;1,039929;Non;Oui;Non;
02_N_Diapositive02.jpg;1;0,895786;Non;Oui;Non;
03_T1_Diapositive03.jpg;0;1,030055;Oui;Oui;Oui;
04Diapositive04.jpg;0;2,729335;Oui;Oui;Oui;
05_N_Diapositive05.jpg;3;0,8602133;Non;Oui;Non;
